frame,x,y,ankle_angle,knee_angle,hip_flag,point_type
237,206.00726,189.29979,123.28534638738554,159.99649,0,2
238,206.04655,189.32712,123.35461142999687,159.7467,0,2
239,205.16452,188.83038,121.2664046975349,162.64653,0,1
240,208.07654,186.44357,122.6976031587699,164.73418,0,1
241,207.86404,186.33374,122.50702326812167,164.976,0,1
242,207.97142,186.43707,122.55637656659765,164.94266,0,1
243,209.23454,183.8663,124.42044913657945,163.59807,0,2
244,209.43906,183.86134,124.51990017804948,163.62285,0,2
245,209.66536,183.85605,124.65680223600933,163.53926,0,2
246,210.86,181.6763,126.45253736401202,162.63171,0,2
247,211.489,181.83167,127.84392809879309,160.76828,0,2
248,212.70615,181.22552,127.71104816465683,160.4637,0,2
249,212.41794,179.4506,128.66217770814222,159.25194,0,2
250,211.83377,175.12077,132.20789420833447,154.73999,0,2
251,212.07587,175.64142,132.27923669467697,155.03053,0,2
252,212.80983,176.06052,132.84238413028274,155.01543,0,2
253,210.715,172.66594,135.177160454434,151.25711,0,2
254,210.5436,172.4494,135.32020478350378,150.76595,0,2
255,210.62573,172.57886,135.31015191859083,150.83502,0,2
256,210.8733,170.73647,137.75101671121863,147.27472,0,2
257,211.21823,169.22873,141.01896617755935,143.04265,0,2
258,211.96854,169.24619,141.38610982612428,143.22507,0,2
259,209.47859,168.96135,141.67441882146667,142.61244,0,2
260,204.13199,168.46275,140.37245346613247,141.95865,0,2
261,203.5797,168.6774,140.0201565216006,141.891,0,2
262,203.55139,168.62186,140.02138434097117,141.91106,0,2
263,200.25992,164.04587,145.5909083514857,128.24887,0,2
264,200.80432,164.40594,145.7185160299525,126.55663,0,2
265,200.74364,164.5036,145.56473723396562,126.89921,0,2
266,200.85025,165.1265,145.98610661404115,124.97742,0,2
267,197.16904,166.70178,145.0118054404445,122.16773,1,3
268,196.84863,166.71277,145.0585915862074,122.050476,1,3
269,196.84236,166.88828,144.70846195251764,122.43268,1,3
270,192.32838,169.96996,136.82243771718714,128.47063,1,3
271,192.65826,170.14279,136.80296669362664,129.01878,1,4
272,192.96796,169.93504,137.26297834711448,128.41084,1,3
273,189.13481,168.33037,141.18982322353668,116.23842,1,3
274,187.90439,172.1756,141.34203527718736,113.39486,1,3
275,187.47974,173.50842,139.49509994651186,115.095634,1,3
276,183.30745,173.01907,137.15431163459695,115.740814,1,3
277,172.34286,182.21294,127.75871730691769,119.43048,1,3
278,172.56299,181.83823,127.86306272379102,119.08605,1,3
279,172.56352,181.7103,127.99732659104542,118.86381,1,3
280,175.9379,185.12439,125.44499641354986,123.69259,1,3
281,175.87482,185.02724,125.65719376814206,123.30616,1,3
282,175.91577,185.03726,125.73694941344756,123.214035,1,3
283,167.83609,176.94054,126.32593373781022,117.49964,1,3
284,167.99289,177.32907,126.9476746992533,117.340065,1,3
285,168.16353,177.6339,127.01361764979191,117.36537,1,3
286,165.27388,179.0239,124.9239109330922,119.45275,1,3
287,156.67612,177.41862,116.51727615329281,127.373405,1,5
288,154.64879,175.69128,116.3575059822238,125.37512,1,5
289,154.83324,175.81528,116.4438282002192,125.650696,1,5
290,150.78645,174.38086,110.7670877739636,127.229126,1,5
291,150.83003,174.51028,110.61282734636227,127.33617,1,5
292,150.66304,174.46114,110.632814284881,127.41583,1,5
293,143.1721,175.70035,106.44840027392198,127.3008,1,5
294,138.79266,180.16757,102.40547121405241,133.87204,1,5
295,139.04301,180.05344,102.77897338428511,133.38428,1,5
296,134.97461,180.70486,99.57848367372266,136.52829,1,5
297,127.33263,184.1785,94.20074296316814,141.95901,1,5
298,127.71502,184.3266,94.45044573742292,141.93134,1,5
299,127.8153,184.2671,94.40186589529613,142.07738,1,5
300,115.6956,185.6547,83.56888868320057,152.68967,1,5
301,115.73714,185.6333,83.58319253029246,152.68228,1,5
302,115.745255,185.69043,83.6196181243115,152.62717,1,5
303,114.215096,187.51263,81.91104177089434,156.4206,1,5
304,111.58008,186.58862,80.3356015900582,157.35265,1,5
305,111.25272,186.67908,79.90612205835033,157.65166,1,5
306,111.30994,186.66473,79.85567247912645,157.78493,1,5
307,108.30951,184.56973,77.97109006270794,157.99612,1,5
308,108.02204,184.81961,77.94003603494222,157.76321,1,5
309,108.10636,184.54712,78.01074831173109,157.60756,1,5
310,106.10614,184.62051,73.67592154241063,162.02611,1,5
311,106.33658,184.99866,74.04702740721059,161.93835,1,5
